ssa2021-03-24 16:01:50,179: 's'
2021-03-24 16:01:50,767: Key.alt_l
2021-03-24 16:01:50,929: Key.tab
2021-03-24 16:03:19,694: Key.enter
2021-03-24 16:03:19,882: Key.enter
2021-03-24 16:03:20,874: Key.ctrl_l
2021-03-24 16:03:21,133: '\x16'
2021-03-24 16:03:21,440: '\x13'
2021-03-24 16:03:32,263: Key.ctrl_l
2021-03-24 16:03:32,757: Key.ctrl_l
2021-03-24 16:03:32,789: Key.ctrl_l
2021-03-24 16:03:32,820: Key.ctrl_l
2021-03-24 16:03:32,851: Key.ctrl_l
2021-03-24 16:03:32,898: Key.ctrl_l
2021-03-24 16:03:32,929: Key.ctrl_l
2021-03-24 16:03:32,960: Key.ctrl_l
2021-03-24 16:03:32,992: Key.ctrl_l
2021-03-24 16:03:33,023: Key.ctrl_l
2021-03-24 16:03:33,054: '\x03'
2021-03-24 16:03:35,898: Key.up
2021-03-24 16:03:36,133: Key.up
2021-03-24 16:03:36,523: Key.enter
2021-03-24 16:03:36,742: Key.up
2021-03-24 16:03:37,132: Key.ctrl_l
2021-03-24 16:03:37,632: '\x16'
2021-03-24 16:03:38,320: Key.enter
2021-03-24 16:03:38,743: Key.up
2021-03-24 16:03:39,101: Key.enter
2021-03-24 16:03:39,273: Key.enter
2021-03-24 16:03:39,655: Key.up
2021-03-24 16:03:39,888: Key.up
2021-03-24 16:03:41,507: Key.shift
2021-03-24 16:03:42,007: Key.shift
2021-03-24 16:03:42,039: Key.shift
2021-03-24 16:03:42,086: Key.shift
2021-03-24 16:03:42,117: Key.shift
2021-03-24 16:03:42,148: Key.shift
2021-03-24 16:03:42,179: Key.shift
2021-03-24 16:03:42,211: Key.shift
2021-03-24 16:03:42,242: Key.shift
2021-03-24 16:03:42,257: '#'
2021-03-24 16:03:42,445: '#'
2021-03-24 16:03:42,648: '#'
2021-03-24 16:03:42,868: '#'
2021-03-24 16:03:43,070: '#'
2021-03-24 16:03:43,655: Key.backspace
2021-03-24 16:03:43,887: Key.backspace
2021-03-24 16:03:44,086: Key.backspace
2021-03-24 16:03:44,898: Key.shift
2021-03-24 16:03:45,112: '#'
2021-03-24 16:03:45,407: Key.space
2021-03-24 16:03:45,571: Key.shift
2021-03-24 16:03:45,735: 'K'
2021-03-24 16:03:45,960: 'E'
2021-03-24 16:03:46,102: 'y'
2021-03-24 16:03:46,320: 'l'
2021-03-24 16:03:46,523: 'o'
2021-03-24 16:03:46,633: 'g'
2021-03-24 16:03:46,804: 'g'
2021-03-24 16:03:46,929: 'e'
2021-03-24 16:03:47,070: 'r'
2021-03-24 16:03:47,119: Key.space
2021-03-24 16:03:47,274: 'i'
2021-03-24 16:03:47,368: 'n'
2021-03-24 16:03:47,672: 'p'
2021-03-24 16:03:47,758: Key.space
2021-03-24 16:03:48,241: 'y'
2021-03-24 16:03:48,415: 't'
2021-03-24 16:03:48,663: Key.backspace
2021-03-24 16:03:48,850: Key.backspace
2021-03-24 16:03:49,038: Key.backspace
2021-03-24 16:03:49,180: Key.backspace
2021-03-24 16:03:49,320: Key.backspace
2021-03-24 16:03:49,945: Key.backspace
2021-03-24 16:03:50,132: Key.backspace
2021-03-24 16:03:50,289: Key.backspace
2021-03-24 16:03:50,431: Key.backspace
2021-03-24 16:03:50,599: Key.backspace
2021-03-24 16:03:50,742: Key.backspace
2021-03-24 16:03:50,898: Key.backspace
2021-03-24 16:03:51,054: Key.backspace
2021-03-24 16:03:51,211: Key.backspace
2021-03-24 16:03:52,195: 'y'
2021-03-24 16:03:52,440: 'l'
2021-03-24 16:03:52,672: 'o'
2021-03-24 16:03:52,852: 'g'
2021-03-24 16:03:53,039: 'g'
2021-03-24 16:03:53,148: 'e'
2021-03-24 16:03:53,320: 'r'
2021-03-24 16:03:53,399: Key.space
2021-03-24 16:03:53,624: 'i'
2021-03-24 16:03:53,757: 'n'
2021-03-24 16:03:54,015: Key.space
2021-03-24 16:03:54,711: 'p'
2021-03-24 16:03:54,975: 'y'
2021-03-24 16:03:55,086: 't'
2021-03-24 16:03:55,195: 'h'
2021-03-24 16:03:55,263: 'o'
2021-03-24 16:03:55,414: 'n'
2021-03-24 16:03:55,992: Key.ctrl_l
2021-03-24 16:03:56,133: '\x13'
2021-03-24 16:31:15,393: Key.space
2021-03-24 16:31:15,674: Key.space
